"ID";"Nazwa";"Adresy URL zdjęcia (x,y,z...)";"Opis";"Cecha(Nazwa:Wartość:Pozycja:Indywidualne)";"Cena zawiera podatek. (brutto)";"ID reguły podatku";"Kategorie (x,y,z...)";"Marka";"Indeks #";"Podsumowanie";"Ilość"
"133";"Nowoczesna Lampa Sufitowa Ball Plafon na LED";"https://light-home.pl/1857-thickbox_default/lampa-sufitowa-ball-3-plomienna-plafon-na-led.jpg,https://light-home.pl/1858-thickbox_default/lampa-sufitowa-ball-3-plomienna-plafon-na-led.jpg,https://light-home.pl/3622-thickbox_default/lampa-sufitowa-ball-3-plomienna-plafon-na-led.jpg,https://light-home.pl/3623-thickbox_default/lampa-sufitowa-ball-3-plomienna-plafon-na-led.jpg,https://light-home.pl/3624-thickbox_default/lampa-sufitowa-ball-3-plomienna-plafon-na-led.jpg,https://light-home.pl/3625-thickbox_default/lampa-sufitowa-ball-3-plomienna-plafon-na-led.jpg,https://light-home.pl/4143-thickbox_default/lampa-sufitowa-ball-3-plomienna-plafon-na-led.jpg,https://light-home.pl/4144-thickbox_default/lampa-sufitowa-ball-3-plomienna-plafon-na-led.jpg,";"<p><strong>Lampa sufitowa 3-punktowa kule plafon</strong></p>";"Materiały wykonania:Metal malowany proszkowo:1,Kolor:Biały:2,Kolor:Czarny:3,Wymiary:Wysokość całkowita 16 cm / szerokość 50 cm:4,Wymiary Klosza:Średnica 10cm:5,Regulacja kąta światła:Tak:6,Zasilanie:~230 [V] / nie wymaga transformatora/ możliwość podłączenia pod podwójny przełącznik:7,Kompatybilne żarówki:LED / max 20W:8,Rodzaj gwintu:żarówka gwint GU10:9,Gwarancja:24 miesiące:10,Styl:Klasyczny:11,Styl:Nowoczesny:12,Ilość źródeł światła:3 źródła:13,Regulacja wysokości:Nie:14,";"89,00 zł";"1";"44";"Light Home ";"";"";"10"
"134";"Nowoczesna Lampa Plafon Sufitowa Ball";"https://light-home.pl/1861-thickbox_default/lampa-sufitowa-ball-3-plomienna-plafon-na-led.jpg,https://light-home.pl/1862-thickbox_default/lampa-sufitowa-ball-3-plomienna-plafon-na-led.jpg,https://light-home.pl/3659-thickbox_default/lampa-sufitowa-ball-3-plomienna-plafon-na-led.jpg,https://light-home.pl/3660-thickbox_default/lampa-sufitowa-ball-3-plomienna-plafon-na-led.jpg,https://light-home.pl/3661-thickbox_default/lampa-sufitowa-ball-3-plomienna-plafon-na-led.jpg,https://light-home.pl/3662-thickbox_default/lampa-sufitowa-ball-3-plomienna-plafon-na-led.jpg,https://light-home.pl/4142-thickbox_default/lampa-sufitowa-ball-3-plomienna-plafon-na-led.jpg,https://light-home.pl/4141-thickbox_default/lampa-sufitowa-ball-3-plomienna-plafon-na-led.jpg,";"<p><strong>Lampa wisząca plafon 2 źródła światła kule</strong></p>";"Materiały wykonania:Metal malowany proszkowo:1,Kolor:Biały:2,Kolor:Czarny:3,Wymiary:Wysokość całkowita 16 cm / szerokość 30 cm:4,Wymiary Klosza:Średnica 10cm:5,Regulacja kąta światła:Tak:6,Zasilanie:~230 [V] / nie wymaga transformatora/ możliwość podłączenia pod podwójny przełącznik:7,Kompatybilne żarówki:LED / max 20W:8,Rodzaj gwintu:żarówka gwint GU10:9,Gwarancja:24 miesiące:10,Styl:Nowoczesny:11,Ilość źródeł światła:2 źródła:12,Regulacja wysokości:Nie:13,";"69,00 zł";"1";"44";"Light Home ";"";"";"10"
"135";"Lampa Sufitowa Nowoczesna Chrom Plafon Ball";"https://light-home.pl/1868-thickbox_default/lampa-sufitowa-nowoczesna-chrom-plafon-ball.jpg,https://light-home.pl/1867-thickbox_default/lampa-sufitowa-nowoczesna-chrom-plafon-ball.jpg,https://light-home.pl/4136-thickbox_default/lampa-sufitowa-nowoczesna-chrom-plafon-ball.jpg,https://light-home.pl/4138-thickbox_default/lampa-sufitowa-nowoczesna-chrom-plafon-ball.jpg,https://light-home.pl/4135-thickbox_default/lampa-sufitowa-nowoczesna-chrom-plafon-ball.jpg,https://light-home.pl/4137-thickbox_default/lampa-sufitowa-nowoczesna-chrom-plafon-ball.jpg,";"<p><strong>Lampa sufitowa 3 źródła zasilania chrom kule</strong></p>";"Materiały wykonania:Metal malowany proszkowo:1,Kolor:Biały:2,Kolor:Czarny:3,Wymiary:Wysokość całkowita 16 cm / szerokość 50 cm:4,Wymiary Klosza:Średnica 10cm:5,Regulacja kąta światła:Tak:6,Zasilanie:~230 [V] / nie wymaga transformatora/ możliwość podłączenia pod podwójny przełącznik:7,Kompatybilne żarówki:LED / max 20W:8,Rodzaj gwintu:żarówka gwint GU10:9,Gwarancja:24 miesiące:10,Rodzaj klosza:Metalowy:11,Styl:Nowoczesny:12,Ilość źródeł światła:3 źródła:13,Regulacja wysokości:Nie:14,";"129,00 zł";"1";"44";"Light Home ";"";"";"10"
"136";"Lampa Nowoczesna Plafon Sufitowa BALL Spot Chrom";"https://light-home.pl/1869-thickbox_default/lampa-nowoczesna-plafon-sufitowa-oryginalna-ball-spot-chrom.jpg,https://light-home.pl/1870-thickbox_default/lampa-nowoczesna-plafon-sufitowa-oryginalna-ball-spot-chrom.jpg,https://light-home.pl/4132-thickbox_default/lampa-nowoczesna-plafon-sufitowa-oryginalna-ball-spot-chrom.jpg,https://light-home.pl/4134-thickbox_default/lampa-nowoczesna-plafon-sufitowa-oryginalna-ball-spot-chrom.jpg,https://light-home.pl/4131-thickbox_default/lampa-nowoczesna-plafon-sufitowa-oryginalna-ball-spot-chrom.jpg,https://light-home.pl/4133-thickbox_default/lampa-nowoczesna-plafon-sufitowa-oryginalna-ball-spot-chrom.jpg,";"<p><strong>Lampa wisząca plafon 2 źródła światła chrom</strong></p>";"Materiały wykonania:Metal malowany proszkowo:1,Kolor:Biały:2,Kolor:Czarny:3,Wymiary:Wysokość całkowita 16 cm / szerokość 30 cm:4,Wymiary Klosza:Średnica 10cm:5,Regulacja kąta światła:Tak:6,Zasilanie:~230 [V] / nie wymaga transformatora/ możliwość podłączenia pod podwójny przełącznik:7,Kompatybilne żarówki:GU10 / LED / max 20W:8,Gwarancja:24 miesiące:9,Rodzaj klosza:Metalowy:10,Styl:Klasyczny:11,Styl:Nowoczesny:12,Ilość źródeł światła:2 źródła:13,Regulacja wysokości:Nie:14,";"99,00 zł";"1";"44";"Light Home ";"";"";"10"
"137";"Lampa Wisząca Sufitowa Żyrandol Plafon";"https://light-home.pl/1882-thickbox_default/lampa-wiszaca-sufitowa-zyrandol-plafon-3-punktowa.jpg,https://light-home.pl/1884-thickbox_default/lampa-wiszaca-sufitowa-zyrandol-plafon-3-punktowa.jpg,https://light-home.pl/4124-thickbox_default/lampa-wiszaca-sufitowa-zyrandol-plafon-3-punktowa.jpg,https://light-home.pl/3735-thickbox_default/lampa-wiszaca-sufitowa-zyrandol-plafon-3-punktowa.jpg,https://light-home.pl/3736-thickbox_default/lampa-wiszaca-sufitowa-zyrandol-plafon-3-punktowa.jpg,https://light-home.pl/3737-thickbox_default/lampa-wiszaca-sufitowa-zyrandol-plafon-3-punktowa.jpg,https://light-home.pl/1885-thickbox_default/lampa-wiszaca-sufitowa-zyrandol-plafon-3-punktowa.jpg,https://light-home.pl/4125-thickbox_default/lampa-wiszaca-sufitowa-zyrandol-plafon-3-punktowa.jpg,https://light-home.pl/4126-thickbox_default/lampa-wiszaca-sufitowa-zyrandol-plafon-3-punktowa.jpg,";"<p><strong>Lampa plafon 3-płomienna ze szklanymi kloszami</strong></p>";"Materiały wykonania:Metal malowany proszkowo:1,Materiały wykonania:Klosz szklany:2,Kolor:Brązowy:3,Kolor:Satynowy:4,Wymiary:Wysokość całkowita 20 cm / szerokość 60 cm:5,Wymiary Klosza:W zależności od wybranego modelu:6,Regulacja kąta światła:Tak/ pod dowolnym kątem i kierunkiem:7,Zasilanie:~230 [V] / nie wymaga transformatora/ możliwość podłączenia pod podwójny przełącznik:8,Kompatybilne żarówki:LED / energooszczędna / zwykła / max 60W/ brak w zestawie:9,Rodzaj gwintu:żarówka gwint E27:10,Gwarancja:24 miesiące:11,Styl:Klasyczny:12,Ilość źródeł światła:3 źródła:13,Regulacja wysokości:Nie:14,";"145,00 zł";"1";"23";"Light Home ";"";"";"10"
"138";"Lampa Nowoczesna Wisząca Kule Ball";"https://light-home.pl/1886-thickbox_default/lampa-nowoczesna-wiszaca-3-plomienna-kule-ball.jpg,https://light-home.pl/1887-thickbox_default/lampa-nowoczesna-wiszaca-3-plomienna-kule-ball.jpg,https://light-home.pl/3606-thickbox_default/lampa-nowoczesna-wiszaca-3-plomienna-kule-ball.jpg,https://light-home.pl/3607-thickbox_default/lampa-nowoczesna-wiszaca-3-plomienna-kule-ball.jpg,https://light-home.pl/3608-thickbox_default/lampa-nowoczesna-wiszaca-3-plomienna-kule-ball.jpg,https://light-home.pl/3609-thickbox_default/lampa-nowoczesna-wiszaca-3-plomienna-kule-ball.jpg,https://light-home.pl/5051-thickbox_default/lampa-nowoczesna-wiszaca-3-plomienna-kule-ball.jpg,https://light-home.pl/5052-thickbox_default/lampa-nowoczesna-wiszaca-3-plomienna-kule-ball.jpg,";"<p><strong>Lampa wisząca kule 3 źródła światła</strong></p>";"Materiały wykonania:Metal malowany proszkowo:1,Kolor:Biały:2,Kolor:Jasnoszary:3,Kolor:Czarny:4,Kolor:Szary:5,Wymiary:Wysokość całkowita (regulowana) do 95 cm / szerokość 70 cm:6,Wymiary Klosza:Średnica 18cm:7,Regulacja kąta światła:Nie:8,Zasilanie:~230 [V] / nie wymaga transformatora/ możliwość podłączenia pod podwójny przełącznik:9,Kompatybilne żarówki:LED / energooszczędna / zwykła / max 60W/ brak w zestawie:10,Rodzaj gwintu:żarówka gwint E27:11,Gwarancja:24 miesiące:12,Rodzaj klosza:Metalowy:13,Styl:Nowoczesny:14,Ilość źródeł światła:3 źródła:15,Regulacja wysokości:Tak:16,";"159,00 zł";"1";"49";"Light Home ";"";"";"10"
"139";"Lampa Wisząca Ball Nowoczesna Kule";"https://light-home.pl/1898-thickbox_default/lampa-nowoczesna-wiszaca-3-plomienna-kule-ball.jpg,https://light-home.pl/1899-thickbox_default/lampa-nowoczesna-wiszaca-3-plomienna-kule-ball.jpg,https://light-home.pl/4118-thickbox_default/lampa-nowoczesna-wiszaca-3-plomienna-kule-ball.jpg,https://light-home.pl/4119-thickbox_default/lampa-nowoczesna-wiszaca-3-plomienna-kule-ball.jpg,https://light-home.pl/4122-thickbox_default/lampa-nowoczesna-wiszaca-3-plomienna-kule-ball.jpg,https://light-home.pl/4123-thickbox_default/lampa-nowoczesna-wiszaca-3-plomienna-kule-ball.jpg,https://light-home.pl/1896-thickbox_default/lampa-nowoczesna-wiszaca-3-plomienna-kule-ball.jpg,https://light-home.pl/1897-thickbox_default/lampa-nowoczesna-wiszaca-3-plomienna-kule-ball.jpg,https://light-home.pl/4121-thickbox_default/lampa-nowoczesna-wiszaca-3-plomienna-kule-ball.jpg,https://light-home.pl/4120-thickbox_default/lampa-nowoczesna-wiszaca-3-plomienna-kule-ball.jpg,";"<p><strong>Lampa wisząca 2-płomienna kule cztery kolory</strong></p>";"Materiały wykonania:Metal malowany proszkowo:1,Kolor:Biały:2,Kolor:Jasnoszary:3,Kolor:Czarny:4,Kolor:Szary:5,Wymiary:Wysokość całkowita (regulowana) do 95 cm / szerokość 50 cm:6,Wymiary Klosza:Średnica 18cm:7,Regulacja kąta światła:Nie:8,Zasilanie:~230 [V] / nie wymaga transformatora/ możliwość podłączenia pod podwójny przełącznik:9,Kompatybilne żarówki:LED / energooszczędna / zwykła / max 60W/ brak w zestawie:10,Rodzaj gwintu:żarówka gwint E27:11,Gwarancja:24 miesiące:12,Rodzaj klosza:Metalowy:13,Styl:Nowoczesny:14,Ilość źródeł światła:2 źródła:15,Regulacja wysokości:Tak:16,";"139,00 zł";"1";"49";"Light Home ";"";"";"10"
"140";"Lampa Klasyczna Wisząca ze Szklanym Kloszem";"https://light-home.pl/1908-thickbox_default/lampa-klasyczna-wiszaca-ze-szklanym-kloszem.jpg,https://light-home.pl/1909-thickbox_default/lampa-klasyczna-wiszaca-ze-szklanym-kloszem.jpg,https://light-home.pl/1910-thickbox_default/lampa-klasyczna-wiszaca-ze-szklanym-kloszem.jpg,https://light-home.pl/1911-thickbox_default/lampa-klasyczna-wiszaca-ze-szklanym-kloszem.jpg,https://light-home.pl/4117-thickbox_default/lampa-klasyczna-wiszaca-ze-szklanym-kloszem.jpg,https://light-home.pl/4116-thickbox_default/lampa-klasyczna-wiszaca-ze-szklanym-kloszem.jpg,";"<p><strong>Lampa sufitowa plafon 2-punktowa ze szklanymi kloszami</strong></p>";"Materiały wykonania:Metal malowany proszkowo:1,Materiały wykonania:Klosz szklany:2,Kolor:Czarny:3,Kolor:Biały:4,Wymiary:Wysokość całkowita 21 cm / szerokość 58cm:5,Wymiary Klosza:W zależności od wybranego modelu:6,Regulacja kąta światła:Tak/ pod dowolnym kątem i kierunkiem:7,Zasilanie:~230 [V] / nie wymaga transformatora/ możliwość podłączenia pod podwójny przełącznik:8,Kompatybilne żarówki:LED / energooszczędna / zwykła / max 60W/ brak w zestawie:9,Rodzaj gwintu:żarówka gwint E27:10,Gwarancja:24 miesiące:11,Styl:Nowoczesny:12,Styl:Klasyczny:13,Ilość źródeł światła:2 źródła:14,Regulacja wysokości:Nie:15,";"95,00 zł";"1";"34";"Light Home ";"";"";"10"
"141";"Lampa Sufitowa Szklany Klosz";"https://light-home.pl/1918-thickbox_default/lampa-klasyczna-wiszaca-ze-szklanym-kloszem.jpg,https://light-home.pl/1919-thickbox_default/lampa-klasyczna-wiszaca-ze-szklanym-kloszem.jpg,https://light-home.pl/1920-thickbox_default/lampa-klasyczna-wiszaca-ze-szklanym-kloszem.jpg,https://light-home.pl/1921-thickbox_default/lampa-klasyczna-wiszaca-ze-szklanym-kloszem.jpg,https://light-home.pl/4114-thickbox_default/lampa-klasyczna-wiszaca-ze-szklanym-kloszem.jpg,https://light-home.pl/4115-thickbox_default/lampa-klasyczna-wiszaca-ze-szklanym-kloszem.jpg,";"<p><strong>Lampa wisząca 3-płomienna plafon</strong></p>";"Materiały wykonania:Metal malowany proszkowo:1,Materiały wykonania:Klosz szklany:2,Kolor:Czarny:3,Kolor:Biały:4,Wymiary:Wysokość całkowita 21 cm / szerokość 65 cm:5,Wymiary Klosza:W zależności od wybranego modelu:6,Regulacja kąta światła:Tak/ pod dowolnym kątem i kierunkiem:7,Zasilanie:~230 [V] / nie wymaga transformatora/ możliwość podłączenia pod podwójny przełącznik:8,Kompatybilne żarówki:LED / energooszczędna / zwykła / max 60W/ brak w zestawie:9,Rodzaj gwintu:żarówka gwint E27:10,Gwarancja:24 miesiące:11,Styl:Nowoczesny:12,Styl:Klasyczny:13,Ilość źródeł światła:3 źródła:14,Regulacja wysokości:Nie:15,";"115,00 zł";"1";"34";"Light Home ";"";"";"10"
"142";"Lampa Wisząca Nowoczesna z Abażurem Materiał";"https://light-home.pl/2091-thickbox_default/lampa-wiszaca-nowoczesna-z-abazurem-material.jpg,https://light-home.pl/2092-thickbox_default/lampa-wiszaca-nowoczesna-z-abazurem-material.jpg,https://light-home.pl/2085-thickbox_default/lampa-wiszaca-nowoczesna-z-abazurem-material.jpg,https://light-home.pl/2086-thickbox_default/lampa-wiszaca-nowoczesna-z-abazurem-material.jpg,https://light-home.pl/2087-thickbox_default/lampa-wiszaca-nowoczesna-z-abazurem-material.jpg,https://light-home.pl/2088-thickbox_default/lampa-wiszaca-nowoczesna-z-abazurem-material.jpg,https://light-home.pl/2089-thickbox_default/lampa-wiszaca-nowoczesna-z-abazurem-material.jpg,https://light-home.pl/2090-thickbox_default/lampa-wiszaca-nowoczesna-z-abazurem-material.jpg,https://light-home.pl/3570-thickbox_default/lampa-wiszaca-nowoczesna-z-abazurem-material.jpg,https://light-home.pl/3571-thickbox_default/lampa-wiszaca-nowoczesna-z-abazurem-material.jpg,https://light-home.pl/3572-thickbox_default/lampa-wiszaca-nowoczesna-z-abazurem-material.jpg,https://light-home.pl/3573-thickbox_default/lampa-wiszaca-nowoczesna-z-abazurem-material.jpg,https://light-home.pl/3574-thickbox_default/lampa-wiszaca-nowoczesna-z-abazurem-material.jpg,https://light-home.pl/3575-thickbox_default/lampa-wiszaca-nowoczesna-z-abazurem-material.jpg,";"<p><strong>Lampa wisząca 3-płomienna materiałowe abażury</strong></p>";"Materiały wykonania:Metal:1,Materiały wykonania:Abażur z materiału:2,Kolor:Czarny:3,Wymiary:Wysokość całkowita(regulowana) do 95 cm / szerokość 102cm:4,Wymiary Klosza:Średnica 30cm / wysokość 15cm:5,Regulacja kąta światła:Nie:6,Zasilanie:~230 [V] / nie wymaga transformatora/ możliwość podłączenia pod podwójny przełącznik:7,Kompatybilne żarówki:LED / energooszczędna / zwykła / max 60W/ brak w zestawie:8,Rodzaj gwintu:żarówka gwint E27:9,Gwarancja:24 miesiące:10,Styl:Klasyczny:11,Kształt abażura:Okrągły:12,Ilość źródeł światła:3 źródła:13,Regulacja wysokości:Tak:14,";"199,00 zł";"1";"33";"Light Home ";"";"";"10"
"143";"Lampa Stojąca Podłogowa Trójnóg z Abażurem Chrom";"https://light-home.pl/8579-thickbox_default/lampa-stojaca-podlogowa-trojnog-z-abazurem-chrom.jpg,https://light-home.pl/8580-thickbox_default/lampa-stojaca-podlogowa-trojnog-z-abazurem-chrom.jpg,https://light-home.pl/8581-thickbox_default/lampa-stojaca-podlogowa-trojnog-z-abazurem-chrom.jpg,https://light-home.pl/8582-thickbox_default/lampa-stojaca-podlogowa-trojnog-z-abazurem-chrom.jpg,https://light-home.pl/8583-thickbox_default/lampa-stojaca-podlogowa-trojnog-z-abazurem-chrom.jpg,https://light-home.pl/8584-thickbox_default/lampa-stojaca-podlogowa-trojnog-z-abazurem-chrom.jpg,https://light-home.pl/8585-thickbox_default/lampa-stojaca-podlogowa-trojnog-z-abazurem-chrom.jpg,https://light-home.pl/3782-thickbox_default/lampa-stojaca-podlogowa-trojnog-z-abazurem-chrom.jpg,https://light-home.pl/3783-thickbox_default/lampa-stojaca-podlogowa-trojnog-z-abazurem-chrom.jpg,https://light-home.pl/1975-thickbox_default/lampa-stojaca-podlogowa-trojnog-z-abazurem-chrom.jpg,https://light-home.pl/4085-thickbox_default/lampa-stojaca-podlogowa-trojnog-z-abazurem-chrom.jpg,https://light-home.pl/4086-thickbox_default/lampa-stojaca-podlogowa-trojnog-z-abazurem-chrom.jpg,";"<p><strong>Lampa stojąca trójnóg chrom</strong></p>";"Materiały wykonania:Metal malowany proszkowo:1,Materiały wykonania:Abażur z materiału:2,Kolory konstrukcji:Chrom:3,Wymiary:Wysokość z abażurem 145 cm / szerokość 55 cm:4,Wymiary Klosza:Średnica 40 cm / wysokość 20 cm:5,Regulacja kąta światła:Nie:6,Zasilanie: ~230[V]/ nie wymaga transformatora:7,Kompatybilne żarówki:LED / energooszczędna / zwykła / max 60W/ brak w zestawie:8,Rodzaj gwintu:żarówka gwint E27:9,Gwarancja:24 miesiące:10,Styl:Nowoczesny:11,Kształt abażura:Okrągły:12,Ilość źródeł światła:1 źródło:13,Regulacja wysokości:Nie:14,";"239,00 zł";"1";"18";"Light Home ";"";"";"10"
"144";"Lampa Oryginalna Wisząca Diament Loft";"https://light-home.pl/2071-thickbox_default/lampa-oryginalna-wiszaca-diament-loft.jpg,https://light-home.pl/2070-thickbox_default/lampa-oryginalna-wiszaca-diament-loft.jpg,https://light-home.pl/2072-thickbox_default/lampa-oryginalna-wiszaca-diament-loft.jpg,https://light-home.pl/4083-thickbox_default/lampa-oryginalna-wiszaca-diament-loft.jpg,https://light-home.pl/4084-thickbox_default/lampa-oryginalna-wiszaca-diament-loft.jpg,https://light-home.pl/1979-thickbox_default/lampa-oryginalna-wiszaca-diament-loft.jpg,https://light-home.pl/4081-thickbox_default/lampa-oryginalna-wiszaca-diament-loft.jpg,https://light-home.pl/4082-thickbox_default/lampa-oryginalna-wiszaca-diament-loft.jpg,";"<p><strong>Lampa wisząca industrialna loft Edison</strong></p>";"Materiały wykonania:Metal malowany proszkowo:1,Kolor:Biały:2,Kolor:Czarny:3,Kolor:Grafit z brokatem:4,Wymiary:Szerokość 45 cm / wysokość 110 cm - możliwość regulacji:5,Wymiary Klosza:Szerokość 45 cm / wysokość 48 cm:6,Regulacja kąta światła:Nie:7,Zasilanie: ~230[V]/ nie wymaga transformatora:8,Kompatybilne żarówki:LED / energooszczędna / zwykła / max 60W/ brak w zestawie:9,Rodzaj gwintu:żarówka gwint E27:10,Gwarancja:24 miesiące:11,Rodzaj klosza:Metalowy:12,Styl:Loft:13,Styl:Nowoczesny:14,Ilość źródeł światła:1 źródło:15,Regulacja wysokości:Tak:16,";"159,00 zł";"1";"49";"Light Home ";"";"";"10"
"145";"Lampa Reflektor Sufitowa Plafon Spot";"https://light-home.pl/6442-thickbox_default/lampa-reflektor-3-plomienna-sufitowa-plafon-spot.jpg,https://light-home.pl/6443-thickbox_default/lampa-reflektor-3-plomienna-sufitowa-plafon-spot.jpg,https://light-home.pl/6445-thickbox_default/lampa-reflektor-3-plomienna-sufitowa-plafon-spot.jpg,https://light-home.pl/6446-thickbox_default/lampa-reflektor-3-plomienna-sufitowa-plafon-spot.jpg,https://light-home.pl/6447-thickbox_default/lampa-reflektor-3-plomienna-sufitowa-plafon-spot.jpg,https://light-home.pl/6444-thickbox_default/lampa-reflektor-3-plomienna-sufitowa-plafon-spot.jpg,";"<p><strong>Lampa sufitowa plafon reflektor LED</strong></p>";"Materiały wykonania:Metal malowany proszkowo:1,Kolor:Biały:2,Kolor:Czarny:3,Wymiary:Wysokość całkowita 22 cm / szerokość 50 cm:4,Regulacja kąta światła:Tak/ pod dowolnym kątem i kierunkiem:5,Zasilanie:~230 [V] / nie wymaga transformatora/ możliwość podłączenia pod podwójny przełącznik:6,Kompatybilne żarówki:AR111 GU10 / max 9W / żarówki w zestawie:7,Rodzaj gwintu:żarówka gwint AR111 GU10:8,Gwarancja:24 miesiące:9,Rodzaj klosza:Metalowy:10,Styl:Nowoczesny:11,Ilość źródeł światła:3 źródła:12,Regulacja wysokości:Nie:13,Żarówki w zestawie:Tak:14,";"249,00 zł";"1";"15";"Light Home ";"";"";"10"
"146";"Wisząca Lampa Industrialna Edison Miedź Chrom";"https://light-home.pl/1984-thickbox_default/wiszaca-lampa-edison-3-plomienna-miedz-chrom.jpg,https://light-home.pl/1985-thickbox_default/wiszaca-lampa-edison-3-plomienna-miedz-chrom.jpg,https://light-home.pl/1986-thickbox_default/wiszaca-lampa-edison-3-plomienna-miedz-chrom.jpg,https://light-home.pl/1987-thickbox_default/wiszaca-lampa-edison-3-plomienna-miedz-chrom.jpg,https://light-home.pl/1988-thickbox_default/wiszaca-lampa-edison-3-plomienna-miedz-chrom.jpg,https://light-home.pl/1989-thickbox_default/wiszaca-lampa-edison-3-plomienna-miedz-chrom.jpg,https://light-home.pl/4073-thickbox_default/wiszaca-lampa-edison-3-plomienna-miedz-chrom.jpg,https://light-home.pl/4076-thickbox_default/wiszaca-lampa-edison-3-plomienna-miedz-chrom.jpg,https://light-home.pl/4078-thickbox_default/wiszaca-lampa-edison-3-plomienna-miedz-chrom.jpg,https://light-home.pl/4077-thickbox_default/wiszaca-lampa-edison-3-plomienna-miedz-chrom.jpg,https://light-home.pl/4075-thickbox_default/wiszaca-lampa-edison-3-plomienna-miedz-chrom.jpg,https://light-home.pl/4074-thickbox_default/wiszaca-lampa-edison-3-plomienna-miedz-chrom.jpg,";"<p><strong>Lampa wisząca industrialna 3-płomienna Edison</strong></p>";"Materiały wykonania:Metal malowany proszkowo:1,Kolor:Czarny:2,Kolor:Chrom:3,Kolor:Miedź:4,Wymiary:Wysokość całkowita 90 cm - możliwość regulacji / szerokość 60 cm:5,Regulacja kąta światła:Nie:6,Zasilanie:~230 [V] / nie wymaga transformatora/ możliwość podłączenia pod podwójny przełącznik:7,Kompatybilne żarówki:LED / energooszczędna / zwykła / max 60W/ brak w zestawie:8,Rodzaj gwintu:żarówka gwint E27:9,Gwarancja:24 miesiące:10,Rodzaj klosza:Metalowy:11,Styl:Nowoczesny:12,Styl:Loft:13,Ilość źródeł światła:3 źródła:14,Regulacja wysokości:Tak:15,";"99,00 zł";"1";"49";"Light Home ";"";"";"10"
"147";"Elegancka Lampa Sufitowa Elementy Chrom";"https://light-home.pl/2073-thickbox_default/lampa-sufitowa-4-punktowa-elementy-chrom.jpg,https://light-home.pl/2074-thickbox_default/lampa-sufitowa-4-punktowa-elementy-chrom.jpg,https://light-home.pl/4072-thickbox_default/lampa-sufitowa-4-punktowa-elementy-chrom.jpg,https://light-home.pl/4071-thickbox_default/lampa-sufitowa-4-punktowa-elementy-chrom.jpg,";"<p><strong>Elegancka lampa sufitowa plafon 4-punktowa</strong></p>";"Materiały wykonania:Metal malowany proszkowo:1,Materiały wykonania:Klosz szklany:2,Kolor:Biały:3,Kolor:Satynowy:4,Wymiary:Wysokość całkowita do 24cm / szerokość 80cm:5,Wymiary Klosza:Średnica 10cm:6,Regulacja kąta światła:Nie:7,Zasilanie:~230 [V] / nie wymaga transformatora/ możliwość podłączenia pod podwójny przełącznik:8,Kompatybilne żarówki:LED / energooszczędna / zwykła / max 60W/ brak w zestawie:9,Rodzaj gwintu:żarówka gwint E27:10,Gwarancja:24 miesiące:11,Styl:Klasyczny:12,Ilość źródeł światła:4 źródła:13,Regulacja wysokości:Nie:14,";"120,00 zł";"1";"30";"Light Home ";"";"";"10"
"148";"Klasyczna Lampa Żyrandol z Elementami Chrom Plafon";"https://light-home.pl/2001-thickbox_default/lampa-zyrandol-z-elementami-chrom-3-plomienna-plafon.jpg,https://light-home.pl/2000-thickbox_default/lampa-zyrandol-z-elementami-chrom-3-plomienna-plafon.jpg,https://light-home.pl/2002-thickbox_default/lampa-zyrandol-z-elementami-chrom-3-plomienna-plafon.jpg,https://light-home.pl/4069-thickbox_default/lampa-zyrandol-z-elementami-chrom-3-plomienna-plafon.jpg,https://light-home.pl/4070-thickbox_default/lampa-zyrandol-z-elementami-chrom-3-plomienna-plafon.jpg,";"<p><strong>Plafon 3-płomienny lampa sufitowa ze szklanymi kloszami</strong></p>";"Materiały wykonania:Metal malowany proszkowo:1,Materiały wykonania:Klosz szklany:2,Kolor:Brązowy:3,Kolor:Satynowy:4,Wymiary:Wysokość całkowita 25 cm / szerokość 60 cm:5,Wymiary Klosza:W zależności od wybranego modelu:6,Regulacja kąta światła:Tak/ pod dowolnym kątem i kierunkiem:7,Zasilanie:~230 [V] / nie wymaga transformatora/ możliwość podłączenia pod podwójny przełącznik:8,Kompatybilne żarówki:LED / energooszczędna / zwykła / max 60W/ brak w zestawie:9,Rodzaj gwintu:żarówka gwint E27:10,Gwarancja:24 miesiące:11,Styl:Nowoczesny:12,Styl:Klasyczny:13,Ilość źródeł światła:3 źródła:14,Regulacja wysokości:Nie:15,";"145,00 zł";"1";"30";"Light Home ";"";"";"10"
